CNL	31	full-length
NL	18	full-length
TNL	21	full-length
RNL	23	full-length
CN	20	partial
TN	10	partial
RN	12	partial
C	13	partial
T	3	partial
R	5	partial
L	11	partial
N	7	partial
TL	14	partial
CL	24	partial
RL	16	partial
